연도,국내 해수면 높이,국내 해수면온도 편차,국내 평균기온 편차,
1968,,-1.0,,
1969,,-1.1,,
1970,,-1.1,,
1971,,-1.1,,
1972,,-0.6,,
1973,,-0.6,-0.4,
1974,,-1.1,-1.4,
1975,,-0.2,-0.2,
1976,,-0.8,-1.1,
1977,,-1.2,-0.5,
1978,,0.0,0.0,
1979,,0.2,-0.2,
1980,,-1.2,-1.6,
1981,,-1.3,-1.4,
1982,,0.0,-0.4,
1983,,-0.2,-0.5,
1984,,-1.0,-1.0,
1985,,-0.5,-0.7,
1986,,-0.9,-1.3,
1987,,-0.7,-0.6,
1988,,-0.2,-0.7,
1989,0.0,-0.5,0.0,
1990,-0.9,0.1,0.3,
1991,-0.1,-0.6,-0.6,
1992,0.5,-0.4,-0.4,
1993,-2.5,-1.0,-1.0,
1994,-0.9,-0.1,0.4,
1995,-2.1,-0.3,-0.8,
1996,-2.4,-0.2,-0.7,
1997,-0.6,0.1,-0.1,
1998,2.6,0.5,0.7,
1999,3.2,0.0,0.0,
2000,2.0,-0.2,-0.3,
2001,2.4,0.4,-0.1,
2002,3.5,-0.2,-0.2,
2003,3.4,-0.3,-0.3,
2004,3.6,0.5,0.4,
2005,0.6,0.1,-0.5,
2006,3.1,0.0,0.1,
2007,3.2,0.5,0.4,
2008,1.8,0.4,0.1,
2009,3.2,0.5,0.2,
2010,3.5,0.0,-0.1,
2011,2.3,-0.7,-0.4,
2012,6.4,-0.1,-0.5,
2013,4.5,0.0,0.1,
2014,5.9,-0.1,0.3,
2015,6.3,-0.2,0.6,
2016,9.5,0.8,0.8,
2017,5.1,0.1,0.3,
2018,4.6,-0.2,0.2,
2019,7.6,0.5,0.7,
2020,9.1,0.3,0.4,
2021,,0.9,0.8,
