temperature,humidity,wind_speed,wind_direction,target,level
20,76,2,104.8,39.6,0
18,60,2.4,179.2,162.46,3
29,50,2.6,78,62.4,1
24,61,1.8,71,26.02,0
12,71,1.8,87,33.84,0
14,80,1.9,100,67,1
10,49,2,62,43.58,0
11,78,3,228.6,22.2,0
11,42,2.4,267,34,0
17,73,1,70,64.6,1
20,76,2.5,188,185.3,3
17,55,2.4,193,182.1,3
28,48,2.6,78,162.46,3
23,61,1.8,118,62.4,1
14,71,1.8,110,26.02,0
14,56,1.2,100,44.76,0
12,46,2,62,64.6,1
11,78,3,210.6,185.3,3
11,39,2.4,109.6,185.3,3
18,65,1,70,44.76,0
20,76,2,154,112.4,2
18,60,2.4,179.2,162.46,3
29,50,2.6,78,62.4,1
24,61,1.8,104,78,1
12,67,2,110,86,1
14,65,2,100,76,1
10,69,2,98,83,1
13,34,3,246,23,0
11,42,2.3,109.6,44.76,0
17,73,1,70,64.6,1
20,76,2.5,188,185.3,3
17,55,2.4,193,182.1,3
28,48,2.6,78,162.46,3
23,61,1.9,135,95,1
14,71,2.2,110,132,2
14,56,1.2,100,48.9,0
12,46,2,62,64.6,1
11,78,3,221,178,3
22,76,2.4,115,165,3
21,58,2,98,89,1
