시점,면적 (ha),평균기온,생산량 (톤)
2000,18754,12.2,315424
2001,16854,12.2,242561
2002,16663,12,274900
2003,16778,11.8,230935
2004,16775,12.7,219048
2005,16774,11.9,219723
2006,18439,12.4,253441
2007,19050,12.9,271418
2008,19158,12.5,276888
2009,19339,12.6,304517
2010,19543,12.2,292707
2011,19470,12,240865
2012,19024,11.8,251661
2013,18895,12.5,309129
2014,18811,12.5,292340
2015,19247,13,372627
2016,20083,13.2,367710
2017,20178,12.8,338034
2018,19780,12.7,315230
2019,19462,13.3,338085
2020,18705,13,277942
2021,20955,12.9,309034
2022,20685,12.9,330532
