"±¸ºÐ","Ç×¸ñ","´ÜÀ§","2017.01 ¿ù","2017.02 ¿ù","2017.03 ¿ù","2017.04 ¿ù","2017.05 ¿ù","2017.06 ¿ù","2017.07 ¿ù","2017.08 ¿ù","2017.09 ¿ù","2017.10 ¿ù","2017.11 ¿ù","2017.12 ¿ù","2018.01 ¿ù","2018.02 ¿ù","2018.03 ¿ù","2018.04 ¿ù","2018.05 ¿ù","2018.06 ¿ù","2018.07 ¿ù","2018.08 ¿ù","2018.09 ¿ù","2018.10 ¿ù","2018.11 ¿ù","2018.12 ¿ù","2019.01 ¿ù","2019.02 ¿ù","2019.03 ¿ù","2019.04 ¿ù","2019.05 ¿ù","2019.06 ¿ù","2019.07 ¿ù","2019.08 ¿ù","2019.09 ¿ù","2019.10 ¿ù","2019.11 ¿ù","2019.12 ¿ù","2020.01 ¿ù","2020.02 ¿ù","2020.03 ¿ù","2020.04 ¿ù","2020.05 ¿ù","2020.06 ¿ù","2020.07 ¿ù","2020.08 ¿ù","2020.09 ¿ù","2020.10 ¿ù","2020.11 ¿ù","2020.12 ¿ù","2021.01 ¿ù","2021.02 ¿ù","2021.03 ¿ù","2021.04 ¿ù","2021.05 ¿ù","2021.06 ¿ù","2021.07 ¿ù","2021.08 ¿ù","2021.09 ¿ù","2021.10 ¿ù",
"¹é·Éµµ","¿ùÆò±Õ","","45","37","54","60","58","32","27","21","32","30","38","41","42","44","39","46","30","24","20","24","24","25","40","35","54","51","58","42","46","21","25","27","30","52","35","38","36","39","42","46","29","30","25","18","24","35","33","38","38","45","66","48","54","30","30","32","26","33",
"¼®¸ð¸®","¿ùÆò±Õ","","46","43","60","65","69","49","40","36","45","43","45","46","48","49","47","50","47","34","26","30","","","","45","63","55","64","40","50","26","28","30","31","41","44","45","46","42","48","46","35","33","23","20","24","39","43","36","35","41","60","34","48","26","15","13","11","24",
"Áß±¸","¿ùÆò±Õ","","51","44","57","51","54","33","31","20","31","28","40","45","45","45","45","43","38","34","25","23","18","26","49","42","60","53","62","35","44","23","26","24","20","27","36","40","41","40","41","39","32","33","20","23","21","40","50","49","44","55","79","47","67","36","28","23","13","27",
"¿¬Æòµµ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","35","34","42","68","41","54","30","23","19","15","25",
"´öÀûµµ","¿ùÆò±Õ","","33","27","53","50","57","28","23","27","37","35","40","42","47","47","39","43","38","31","23","29","27","31","43","32","49","48","49","40","50","27","25","29","29","36","37","35","37","35","39","42","32","31","21","15","20","31","35","33","35","43","62","41","53","28","21","19","16","24",
"¿ïµµ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","18","32","36","34","41","42","63","39","55","26","25","19","17","25",
"°æÀÎÇ×","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","22","43","50","47","","","","","","","","","","",
"ÇÑ°­´ë·Î","¿ùÆò±Õ","","68","61","80","74","81","52","47","33","47","39","53","58","58","63","65","63","58","53","36","35","31","40","64","48","48","63","80","56","71","43","33","28","24","31","38","43","46","46","51","51","44","45","28","32","25","39","51","47","41","54","75","50","70","42","36","29","24","36",
"Á¾·Î±¸","¿ùÆò±Õ","","50","42","55","50","55","35","31","20","28","27","41","45","45","46","46","44","36","31","23","20","18","25","49","41","60","51","61","35","44","24","25","24","20","27","37","42","43","42","43","42","34","36","22","23","21","36","44","44","42","50","69","43","63","32","22","21","13","26",
"¿Ü¿¬µµ","¿ùÆò±Õ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","29","39","41","34","44","48","93","44","64","33","21","21","20","29",
